Country,srcYear,Amount of estimated Foreign Exchange Earnings (FEEs) from Tourism in India,YearCode,Year
India,2007,44362,2007,"Calendar Year (Jan - Dec), 2007"
India,2017,177874,2017,"Calendar Year (Jan - Dec), 2017"
India,2013,107563,2013,"Calendar Year (Jan - Dec), 2013"
India,2003,20729,2003,"Calendar Year (Jan - Dec), 2003"
India,2020,50136,2020,"Calendar Year (Jan - Dec), 2020"
India,2014,120367,2014,"Calendar Year (Jan - Dec), 2014"
India,2009,53754,2009,"Calendar Year (Jan - Dec), 2009"
India,2012,95607,2012,"Calendar Year (Jan - Dec), 2012"
India,2018,194881,2018,"Calendar Year (Jan - Dec), 2018"
India,2010,66172,2010,"Calendar Year (Jan - Dec), 2010"
India,2005,33123,2005,"Calendar Year (Jan - Dec), 2005"
India,2004,27944,2004,"Calendar Year (Jan - Dec), 2004"
India,2006,39025,2006,"Calendar Year (Jan - Dec), 2006"
India,2008,51294,2008,"Calendar Year (Jan - Dec), 2008"
India,2019,211661,2019,"Calendar Year (Jan - Dec), 2019"
India,2011,83036,2011,"Calendar Year (Jan - Dec), 2011"
India,2002,15064,2002,"Calendar Year (Jan - Dec), 2002"
India,2001,15083,2001,"Calendar Year (Jan - Dec), 2001"
India,2015,134844,2015,"Calendar Year (Jan - Dec), 2015"
India,2016,154146,2016,"Calendar Year (Jan - Dec), 2016"
