Country,srcYear,Region or Country name,Number of Foreign Tourist Arrivals (FTAs) in India from different regions of the world,YearCode,Year
India,2017,Not Classified elsewhere,23456,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Central & South America,92067,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Africa,318023,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,West Asia,457760,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Australasia,386059,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Eastern Europe,472872,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,East Asia,663295,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,South East Asia,824575,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,North America,1712358,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Western Europe,2133673,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,South Asia,2951665,2017,"Calendar Year (Jan - Dec), 2017"
India,2013,Not Classified elsewhere,23333,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Central & South America,68436,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Africa,275271,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Australasia,263574,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Eastern Europe,405083,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,West Asia,343113,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,East Asia,547305,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,South East Asia,630054,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,North America,1340531,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Western Europe,1855866,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,South Asia,1215035,2013,"Calendar Year (Jan - Dec), 2013"
India,2020,Not classified elsewhere,3018,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Central & South America,26968,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Africa,90296,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,West Asia,97651,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Australasia,105047,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Eastern Europe,168145,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,East Asia,130383,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,South East Asia,231622,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,North America,516960,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Western Europe,624615,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,South Asia,750061,2020,"Calendar Year (Jan - Dec), 2020"
