Country,srcYear,Name of the Airport,Airport wise arrival of foreign tourists who are availing e-Visa,YearCode,Year
India,2017,Others,65696,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Amritsar,23586,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Trivandrum,26912,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Kolkata,43616,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Hyderabad,44857,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Kochi,74462,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Bangalore,89514,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Chennai,113415,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Dabolim (Goa),134842,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Mumbai,328936,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,New Delhi,751339,2017,"Calendar Year (Jan - Dec), 2017"
India,2013,Thiruvananthapuram,102,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,New Delhi,11046,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Mumbai,4206,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Kolkata,1351,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Kochi,229,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Hyderabad,165,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Chennai,2815,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Bangalore,380,2013,"Calendar Year (Jan - Dec), 2013"
India,2014,Thiruvananthapuram,517,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,New Delhi,16618,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Mumbai,7861,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Kolkata,1931,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Kochi,1478,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Goa,2569,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Hyderabad,1041,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Chennai,4522,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Bangalore,2509,2014,"Calendar Year (Jan - Dec), 2014"
India,2012,Thiruvananthapuram,,2012,"Calendar Year (Jan - Dec), 2012"
India,2012,New Delhi,9596,2012,"Calendar Year (Jan - Dec), 2012"
India,2012,Mumbai,3276,2012,"Calendar Year (Jan - Dec), 2012"
India,2012,Kolkata,939,2012,"Calendar Year (Jan - Dec), 2012"
India,2012,Kochi,,2012,"Calendar Year (Jan - Dec), 2012"
India,2012,Hyderabad,,2012,"Calendar Year (Jan - Dec), 2012"
India,2012,Chennai,2273,2012,"Calendar Year (Jan - Dec), 2012"
India,2012,Bangalore,,2012,"Calendar Year (Jan - Dec), 2012"
India,2018,others,154067,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Trivandrum,30834,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Amritsar,31722,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Kolkata,63804,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Hyderabad,63814,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Cochin,81910,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Dabolim (Goa),134163,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Bangalore,159003,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Chennai,164429,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Mumbai,439532,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,New Delhi,1046663,2018,"Calendar Year (Jan - Dec), 2018"
India,2021,Others,1654,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Kolkata,628,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Trivandrum,797,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Dabolim (Goa),1148,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Ahmedabad,2527,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Cochin,2929,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Chennai,3523,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Bangalore,4938,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Hyderabad,5126,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Mumbai,14084,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,New Delhi,35516,2021,"Calendar Year (Jan - Dec), 2021"
India,2019,Others,251137,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Ahmedabad,38930,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Tiruchirappalli,55825,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Kolkata,81983,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Hyderabad,83207,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Cochin,105197,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Dabolim (Goa),171226,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Chennai,208155,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Bangalore,217549,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Mumbai,484694,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,New Delhi,1230400,2019,"Calendar Year (Jan - Dec), 2019"
India,2011,Thiruvananthapuram,,2011,"Calendar Year (Jan - Dec), 2011"
India,2011,New Delhi,7340,2011,"Calendar Year (Jan - Dec), 2011"
India,2011,Mumbai,2816,2011,"Calendar Year (Jan - Dec), 2011"
India,2011,Kolkata,657,2011,"Calendar Year (Jan - Dec), 2011"
India,2011,Kochi,,2011,"Calendar Year (Jan - Dec), 2011"
India,2011,Hyderabad,,2011,"Calendar Year (Jan - Dec), 2011"
India,2011,Chennai,1948,2011,"Calendar Year (Jan - Dec), 2011"
India,2011,Bangalore,,2011,"Calendar Year (Jan - Dec), 2011"
India,2015,Varanasi,74,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Lucknow,156,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Gaya,287,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Jaipur,726,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Tiruchirappalli,847,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Amritsar,2435,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Ahmedabad,3417,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Trivandrum,7650,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Kolkata,12064,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Hyderabad,13049,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Kochi,17525,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Chennai,26781,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Bangalore,29699,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Dabolim (Goa),46484,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Mumbai,90692,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,New Delhi,193414,2015,"Calendar Year (Jan - Dec), 2015"
India,2016,Others,26115,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Amritsar,14865,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Trivandrum,16730,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Hyderabad,25960,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Kolkata,26411,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Kochi,39909,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Bangalore,65564,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Chennai,68937,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Dabolim (Goa),103536,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Mumbai,221315,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,New Delhi,470354,2016,"Calendar Year (Jan - Dec), 2016"
