Country,srcYear,Tourist Arrival Country,Share of international tourist arrivals,Comments,YearCode,Year
India,2017,India,16.8,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Other Countries,797.1,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,United Kingdom,37.7,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Germany,37.5,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Thailand,35.6,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Mexico,39.3,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Turkey,37.6,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Italy,58.3,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,China,60.7,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,USA,77.2,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Spain,81.9,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,France,86.9,,2017,"Calendar Year (Jan - Dec), 2017"
India,2013,Other Countries,638.7,,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,India,6.97,# : Excludes nationals of the country residing abroad,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Thailand,26.5,,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Russian Federation,28.4,,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,United Kingdom,31.2,,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Germany,31.5,,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Turkey,37.8,,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Italy,47.7,,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,China,55.7,,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Spain,60.7,,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,USA,69.8,,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,France,,,2013,"Calendar Year (Jan - Dec), 2013"
India,2020,Czech Republic,3.9,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Japan,4.1,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Saudi Arabia,4.1,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Malaysia,4.3,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Croatia,5.5,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Denmark,5.9,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,India,6.3,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Russian Federation,6.4,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Portugal,6.5,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Thailand,6.7,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,United Arab Emirates,7.2,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Netherlands,7.3,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Greece,7.4,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Hungary,7.4,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,China,8,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Poland,8.4,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,United Kingdom,10.7,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Germany,12.4,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Austria,15.1,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Turkey,15.9,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Spain,18.9,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,USA,19.2,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Mexico,24.3,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Italy,25.2,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,France,40,,2020,"Calendar Year (Jan - Dec), 2020"
India,2014,Other Countries,633,,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,India,7.68,# : Excludes nationals of the country residing abroad,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Mexico,29.3,,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Russian Federation,29.8,,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,United Kingdom,32.6,,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Germany,33,,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Turkey,39.8,,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Italy,48.6,,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,China,55.6,,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Spain,65,,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,USA,74.8,,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,France,83.8,,2014,"Calendar Year (Jan - Dec), 2014"
India,2018,India,17.4,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Other Countries,851.1,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,United Kingdom,38.7,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Germany,38.9,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Thailand,38.2,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Mexico,41.3,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Turkey,45.8,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Italy,61.6,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,China,62.9,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,USA,79.7,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Spain,82.8,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,France,89.4,,2018,"Calendar Year (Jan - Dec), 2018"
India,2021,Czech Republic,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Japan,0.2,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Saudi Arabia,3.5,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Malaysia,0.1,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Croatia,10.9,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Denmark,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,India,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Russian Federation,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Portugal,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Thailand,0.4,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,United Arab Emirates,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Netherlands,6.2,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Greece,14.7,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Hungary,7.9,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,China,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Poland,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,United Kingdom,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Germany,11.7,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Austria,12.7,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Turkey,29.9,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Spain,31.2,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,USA,22.1,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Mexico,31.9,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Italy,26.9,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,France,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2019,India,17.9,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Other Countries,902.4,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Poland,21.2,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,United Kingdom,39.4,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Germany,39.6,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Austria,31.9,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Turkey,51.2,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Spain,83.5,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,USA,79.4,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Mexico,45,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Italy,64.5,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,France,90,,2019,"Calendar Year (Jan - Dec), 2019"
India,2015,Other Countries,667.5,,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,India,8.03,,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Russian Federation,31.3,,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Mexico,32.1,,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Germany,35,,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,United Kingdom,36.1,@ : According to country's respective website,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Turkey,36.2,@ : According to country's respective website,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Italy,50.7,,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,China,56.9,,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Spain,68.2,,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,USA,77.5,@ : According to country's respective website,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,France,84.5,,2015,"Calendar Year (Jan - Dec), 2015"
India,2016,India,14.6,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Other Countries,724.1,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Turkey,30.3,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Thailand,32.6,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Mexico,35.1,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Germany,35.6,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,United Kingdom,35.8,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Italy,52.4,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,China,59.3,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Spain,75.3,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,USA,75.9,,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,France,82.6,,2016,"Calendar Year (Jan - Dec), 2016"
