Country,srcYear,Month,Foreign exchange earnings from tourism Rupees in Crore,Comments,YearCode,Year
India,2017,Dec-2017,19381,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Nov-2017,16528,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Oct-2017,14213,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Sep-2017,13840,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Aug-2017,13811,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Jul-2017,14796,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Jun-2017,12971,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,May-2017,12255,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Apr-2017,14260,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Mar-2017,14667,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Feb-2017,15353,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Jan-2017,15799,Note: #2: Revised Estimates,2017,"Calendar Year (Jan - Dec), 2017"
India,2020,Dec-2020,1776,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Nov-2020,1413,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Oct-2020,831,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Sep-2020,686,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Aug-2020,479,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Jul-2020,307,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Jun-2020,208,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,May-2020,94,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Apr-2020,71,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Mar-2020,5830,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Feb-2020,18241,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Jan-2020,20200,,2020,"Calendar Year (Jan - Dec), 2020"
India,2018,Dec-2018,19474,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Nov-2018,16584,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Oct-2018,14701,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Sep-2018,15150,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Aug-2018,16492,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Jul-2018,16976,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Jun-2018,14398,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,May-2018,12752,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Apr-2018,15620,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Mar-2018,17222,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Feb-2018,17757,,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Jan-2018,17755,,2018,"Calendar Year (Jan - Dec), 2018"
India,2019,Dec-2019,22631,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Nov-2019,19840,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Oct-2019,17057,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Sep-2019,16824,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Aug-2019,17867,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Jul-2019,18205,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Jun-2019,16083,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,May-2019,13642,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Apr-2019,17134,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Mar-2019,16214,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Feb-2019,17959,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Jan-2019,18205,,2019,"Calendar Year (Jan - Dec), 2019"
