Country,srcYear,Purpose of Indian Nationals Departure( IND ),Number of Indian Nationals Departure ( IND ),YearCode,Year
India,2020,MEDICAL,395,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,PILGRIMAGE,2512,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,OTHERS,55783,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,HAJ / UMRA,113974,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,SEAMAN,147960,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,FAMILY JOINING / DEPENDENT,196877,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,STUDENT,261689,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,BUSINESS,266885,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,CREW,276921,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,EMPLOYMENT,728322,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,VISIT,1013398,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,TOURIST,1322815,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,RESIDENCE / RE-ENTRY,2907034,2020,"Calendar Year (Jan - Dec), 2020"
India,2021,LOW PROFILE VISITOR TO POE,2561,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,THIRD COUNTRY QUSTSNYINR,2667,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,MEDICAL,545,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,PILGRIMAGE,3859,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,OTHERS,59458,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,HAJ / UMRA,279,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,SEAMAN,200062,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,FAMILY JOINING / DEPENDENT,288355,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,STUDENT,445551,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,BUSINESS,126567,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,CREW,316510,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,EMPLOYMENT,845139,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,VISIT,1513503,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,TOURIST,1281516,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,RESIDENCE / RE-ENTRY,3464743,2021,"Calendar Year (Jan - Dec), 2021"
