srcStateName,srcYear,Number of Domestic Tourist Visits,Comments,YearCode,Year
Others,2017,271588513,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017,45916573,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2017,48343121,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,2017,78038522,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017,79687645,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,2017,85266596,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017,119191539,*: Estimated figures for the year 2017 using all-India growth rate,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2017,165433898,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,2017,179980191,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017,233977619,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017,345061140,,2017,"Calendar Year (Jan - Dec), 2017"
Others,2020,67411024,,2020,"Calendar Year (Jan - Dec), 2020"
Punjab,2020,16692197,,2020,"Calendar Year (Jan - Dec), 2020"
Gujarat,2020,19464517,,2020,"Calendar Year (Jan - Dec), 2020"
Madhya Pradesh,2020,23519632,,2020,"Calendar Year (Jan - Dec), 2020"
West Bengal,2020,28841732,,2020,"Calendar Year (Jan - Dec), 2020"
Maharashtra,2020,39234591,#: Data for 2020 is estimated by applying all India growth rate for 2020/19 on 2019 data,2020,"Calendar Year (Jan - Dec), 2020"
Telangana,2020,39997001,,2020,"Calendar Year (Jan - Dec), 2020"
Andhra Pradesh,2020,70828590,,2020,"Calendar Year (Jan - Dec), 2020"
Karnataka,2020,77453339,,2020,"Calendar Year (Jan - Dec), 2020"
Uttar Pradesh,2020,86122293,,2020,"Calendar Year (Jan - Dec), 2020"
Tamil Nadu,2020,140651241,,2020,"Calendar Year (Jan - Dec), 2020"
Others,2014,222477910,,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014,33076491,,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,2014,33427144,,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014,49029590,,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,2014,63614525,,2014,"Calendar Year (Jan - Dec), 2014"
Telangana,2014,72399113,,2014,"Calendar Year (Jan - Dec), 2014"
Andhra Pradesh,2014,93306974,,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014,94127124,,2014,"Calendar Year (Jan - Dec), 2014"
