srcStateName,srcYear,Rank of a state in terms of the visits of foreign tourist,Number of foreign tourist visiting from each state,Comments,YearCode,Year
Others,2017,,3340655,,2017,"Calendar Year (Jan - Dec), 2017"
Goa,2017,10,842220,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017,9,1082705,,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,2017,8,1091870,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,2017,7,1108635,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017,6,1574915,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017,5,1609963,,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,2017,4,2740502,*: Provisional,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017,3,3556204,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017,2,4860455,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017,1,5078514,*: Provisional,2017,"Calendar Year (Jan - Dec), 2017"
Others,2020,,888433,,2020,"Calendar Year (Jan - Dec), 2020"
Goa,2020,10,302751,,2020,"Calendar Year (Jan - Dec), 2020"
Bihar,2020,9,308080,,2020,"Calendar Year (Jan - Dec), 2020"
Kerala,2020,8,340755,,2020,"Calendar Year (Jan - Dec), 2020"
Punjab,2020,7,359114,,2020,"Calendar Year (Jan - Dec), 2020"
Rajasthan,2020,6,446457,,2020,"Calendar Year (Jan - Dec), 2020"
West Bengal,2020,5,463285,,2020,"Calendar Year (Jan - Dec), 2020"
Delhi,2020,4,681230,#: Data for 2020 is estimated by applying all India growth rate for 2020/19 on 2019 data,2020,"Calendar Year (Jan - Dec), 2020"
Uttar Pradesh,2020,3,890932,,2020,"Calendar Year (Jan - Dec), 2020"
Tamil Nadu,2020,2,1228323,,2020,"Calendar Year (Jan - Dec), 2020"
Maharashtra,2020,1,1262409,#: Data for 2020 is estimated by applying all India growth rate for 2020/19 on 2019 data,2020,"Calendar Year (Jan - Dec), 2020"
Others,2014,,2528716,,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,2014,10,547367,,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,2014,9,561870,,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,2014,8,829508,,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2014,7,923366,,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014,6,1375740,,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014,5,1525574,,2014,"Calendar Year (Jan - Dec), 2014"
Delhi,2014,4,2319046,,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,2014,3,2909735,,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014,2,4389098,,2014,"Calendar Year (Jan - Dec), 2014"
Tamil Nadu,2014,1,4657630,,2014,"Calendar Year (Jan - Dec), 2014"
others,2018,,3507630,,2018,"Calendar Year (Jan - Dec), 2018"
Goa,2018,10,933841,,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,9,1087971,,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,2018,8,1096407,,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018,7,1200969,,2018,"Calendar Year (Jan - Dec), 2018"
West Bengal,2018,6,1617105,,2018,"Calendar Year (Jan - Dec), 2018"
Rajasthan,2018,5,1754348,,2018,"Calendar Year (Jan - Dec), 2018"
Delhi,2018,4,2740502,*: Figure for the year 2017 has been repeated in the year 2018,2018,"Calendar Year (Jan - Dec), 2018"
Uttar Pradesh,2018,3,3780752,,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018,2,5078514,*: Figure for the year 2017 has been repeated in the year 2018,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,2018,1,6074345,,2018,"Calendar Year (Jan - Dec), 2018"
Others,2021,,114118,,2021,"Calendar Year (Jan - Dec), 2021"
Rajasthan,2021,10,34806,,2021,"Calendar Year (Jan - Dec), 2021"
West Bengal,2021,9,34828,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,2021,8,41601,,2021,"Calendar Year (Jan - Dec), 2021"
Uttar Pradesh,2021,7,44737,,2021,"Calendar Year (Jan - Dec), 2021"
Tamil Nadu,2021,6,57622,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,2021,5,60487,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,2021,4,72487,,2021,"Calendar Year (Jan - Dec), 2021"
Delhi,2021,3,100178,#: Data for 2021 is estimated by applying all India growth rate for 2021/19 on 2019 data,2021,"Calendar Year (Jan - Dec), 2021"
Maharashtra,2021,2,185643,#: Data for 2021 is estimated by applying all India growth rate for 2021/19 on 2019 data,2021,"Calendar Year (Jan - Dec), 2021"
Punjab,2021,1,308135,,2021,"Calendar Year (Jan - Dec), 2021"
Others,2019,,3701945,(P): Provisional,2019,"Calendar Year (Jan - Dec), 2019"
Goa,2019,10,937113,(P): Provisional,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,2019,9,1093141,(P): Provisional,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,2019,8,1101343,(P): Provisional,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,2019,7,1189771,(P): Provisional,2019,"Calendar Year (Jan - Dec), 2019"
Rajasthan,2019,6,1605560,(P): Provisional,2019,"Calendar Year (Jan - Dec), 2019"
West Bengal,2019,5,1656145,(P): Provisional,2019,"Calendar Year (Jan - Dec), 2019"
Delhi,2019,4,2983436,(P): Provisional #: Figure for the year 2019 has been estimated using All India growth rate,2019,"Calendar Year (Jan - Dec), 2019"
Uttar Pradesh,2019,3,4745181,(P): Provisional,2019,"Calendar Year (Jan - Dec), 2019"
