srcStateName,srcYear,Number of Domestic Tourist Visits,Number of Foreign Tourist Visits,Percentage share of Domestic Tourist Visits ( % ),Percentage share of Foreign Tourist Visits ( % ),Rank of different States or UTs in Domestic Tourist Visits,Rank of different States or UTs in Foreign Tourist Visits,YearCode,Year
A&N Island,2011,202221,15814,0.02,0.08,31,25,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011,22256968,1213270,2.62,6.22,9,6,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011,25946254,124653,3.05,0.64,8,17,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011,155430364,1887095,18.27,9.68,1,4,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011,359515,6046,0.04,0.03,29,26,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011,137512991,3373870,16.16,17.31,3,2,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011,552453,23602,0.06,0.12,27,23,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011,27137323,1351974,3.19,6.94,7,5,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011,16416638,150958,1.93,0.77,12,15,2011,"Calendar Year (Jan - Dec), 2011"
Puducherry,2011,897896,52298,0.11,0.27,23,21,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011,8271257,60722,0.97,0.31,18,20,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011,25391,2080,0,0.01,34,30,2011,"Calendar Year (Jan - Dec), 2011"
Mizoram,2011,62174,658,0.01,0.01,33,33,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011,667504,4803,0.08,0.03,25,27,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011,134505,578,0.02,0,32,34,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011,55333467,4815421,6.57,24.7,5,1,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011,44119820,269559,5.19,1.38,6,12,2011,"Calendar Year (Jan - Dec), 2011"
Lakshadweep,2011,9424,567,0,0,35,35,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011,9381455,732985,1.1,3.76,17,8,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011,84107390,574005,9.89,2.94,4,9,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011,10796286,72467,1.27,0.37,16,18,2011,"Calendar Year (Jan - Dec), 2011"
Jammu & Kashmir,2011,13071531,71593,1.54,0.37,15,19,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011,14604888,484518,1.72,2.49,14,10,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011,5988062,130435,0.7,0.67,19,16,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011,21017478,166042,2.47,0.85,10,14,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011,2225002,445935,0.26,2.29,21,11,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011,15428865,2159925,1.81,11.08,13,3,2011,"Calendar Year (Jan - Dec), 2011"
Daman & Diu,2011,832906,4484,0.1,0.02,24,29,2011,"Calendar Year (Jan - Dec), 2011"
Dadra & Nagar Haveli,2011,422265,1412,0.05,0.01,28,32,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011,644425,1726,0.08,0.01,26,31,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011,909904,37181,0.11,0.19,22,22,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011,18397490,972487,2.16,4.99,11,7,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011,4339485,16400,0.51,0.08,20,24,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011,233227,4753,0.03,0.02,30,28,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011,153119816,264563,18,1.36,2,13,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2012,924589,34130,0.09,0.16,24,21,2012,"Calendar Year (Jan - Dec), 2012"
West Bengal,2012,22730205,1219610,2.19,5.88,10,6,2012,"Calendar Year (Jan - Dec), 2012"
Uttarakhand,2012,26827329,124555,2.59,0.6,8,17,2012,"Calendar Year (Jan - Dec), 2012"
Uttar Pradesh,2012,168381276,1994495,16.25,9.62,3,4,2012,"Calendar Year (Jan - Dec), 2012"
Tripura,2012,361786,7840,0.03,0.04,29,26,2012,"Calendar Year (Jan - Dec), 2012"
Tamil Nadu,2012,184136840,3561740,17.77,17.18,2,2,2012,"Calendar Year (Jan - Dec), 2012"
Sikkim,2012,558538,26489,0.05,0.13,27,23,2012,"Calendar Year (Jan - Dec), 2012"
Rajasthan,2012,28611831,1451370,2.76,7,7,5,2012,"Calendar Year (Jan - Dec), 2012"
