srcStateName,srcYear,From Month,To Month,Age group of visitors,Gender,Type of visitors includes domestic or foreign,Number of overnight and day visitors ,YearCode,Year
Jammu & Kashmir,2014-15,May-2014,Jun-2015,> 60,Female,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,> 60,Male,Foreign Overnight Visitors,70,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,> 60,Female,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,> 60,Male,Domestic Overnight Visitors,24,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,> 60,Female,Domestic Overnight Visitors,1,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,> 60,Male,Domestic Day Visitors,262,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,> 60,Female,Domestic Day Visitors,11,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,45-60,Male,Foreign Same Day Visitors,6,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,45-60,Female,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,45-60,Male,Foreign Overnight Visitors,306,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,45-60,Female,Foreign Overnight Visitors,66,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,45-60,Male,Domestic Overnight Visitors,565,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,45-60,Female,Domestic Overnight Visitors,29,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,45-60,Male,Domestic Day Visitors,2653,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,45-60,Female,Domestic Day Visitors,231,2014,"Calendar Year (Jan - Dec), 2014"
