srcStateName,srcYear,From Month,To Month,Tourist Destination,Sample Size per Month,Sample Size Yearly,YearCode,Year
Chandigarh,2014-15,May-2014,Apr-2015,Chandigarh Urban,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Leh,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Kupwara,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Kargil,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Baramulla,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Srinagar,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Budgam,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Pulwama,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Anantnag,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Udhampur,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Rajouri,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Punch,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Kathua,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Jammu,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,Doda,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,Churachandpur,0,0,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,Ukhrul,0,0,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,Bishnupur,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,Thoubal,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,Senapati,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,Tamenglong,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,Chandel,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,Imphal West,1200,14400,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,Imphal East,1200,14400,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Longleng,0,0,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Wokha,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Kiphire,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Tuensang,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Peren,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Phek,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Mon,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Mokokchung,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Zunheboto,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Dimapur,900,10800,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,Kohima,900,10800,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,West Siang,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,West Kameng,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,Upper Subansiri,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,Upper Siang,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,Tawang,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,Papum Pare,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,Kurang Kumey,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,Lower Subansiri,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,Lohit & Anjaw,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,East Siang,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,East Kameng,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,Dibang Valley(Lower & Upper),600,7200,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,Changlang,600,7200,2014,"Calendar Year (Jan - Dec), 2014"
